transaction_id,customer_id,merchant_id,amount,currency,timestamp,payment_method,failure_type,failure_code,failure_reason,retry_count,customer_historical_success_rate,previous_success_rate,customer_payment_frequency,previous_failures,transaction_hour,day_of_week,subscription_status,amount_relative_to_historical_avg,time_since_previous_successful_payment,device_type,device_os,country,invoice_info,is_recoverable,recoverability_probability,expected_recovery_amount
TXN_DA1066A7FE,CUST_1470,MERCH_269,5066.5,INR,2026-05-27T13:57:23,debit_card,insufficient_funds,ERR_INSUFFICIENT_FUNDS,Insufficient funds in customer account,0,0.726,0.741,6,1,13,2,canceled,1.68,25473.0,mobile,iOS,AE,"{""invoice_id"": ""INV_A8DF0466"", ""due_date"": ""2026-06-06"", ""items"": 1, ""tax"": 911.97}",0,0.355,0.0
TXN_F8E75D01FC,CUST_1896,MERCH_149,14157.28,INR,2026-05-27T14:02:15,debit_card,insufficient_funds,ERR_INSUFFICIENT_FUNDS,Insufficient funds in customer account,0,0.795,0.71,4,2,14,2,active,1.52,741266.0,mobile,macOS,IN,"{""invoice_id"": ""INV_52CA902F"", ""due_date"": ""2026-06-01"", ""items"": 1, ""tax"": 2548.31}",0,0.268,0.0
TXN_3FA3B9E001,CUST_1613,MERCH_156,1689.93,INR,2026-05-27T14:24:07,upi,bank_decline,ERR_BANK_DECLINE,Issuer bank declined transaction due to risk rules,1,0.677,0.718,3,1,14,2,active,0.7,129502.0,tablet,macOS,IN,"{""invoice_id"": ""INV_F1B6E89D"", ""due_date"": ""2026-06-04"", ""items"": 1, ""tax"": 304.19}",1,0.99,1673.03
TXN_E03FC4A819,CUST_1511,MERCH_330,4151.27,INR,2026-05-27T14:46:27,credit_card,insufficient_funds,ERR_INSUFFICIENT_FUNDS,Insufficient funds in customer account,0,0.836,0.796,4,0,14,2,none,0.44,185693.0,desktop,iOS,IN,"{""invoice_id"": ""INV_FFCED8E2"", ""due_date"": ""2026-05-29"", ""items"": 3, ""tax"": 747.23}",0,0.296,0.0
TXN_6A28C6E444,CUST_1785,MERCH_216,4692.46,INR,2026-05-27T14:55:25,upi,merchant_configuration,ERR_MERCHANT_CONFIG,Invalid merchant API credentials or routing config,0,0.709,0.587,3,1,14,2,active,2.2,142541.0,mobile,iOS,IN,"{""invoice_id"": ""INV_A64C3CE3"", ""due_date"": ""2026-05-28"", ""items"": 1, ""tax"": 844.64}",1,0.602,2824.86
TXN_1DDD0D90EC,CUST_2225,MERCH_291,464.74,INR,2026-05-27T15:05:06,credit_card,insufficient_funds,ERR_INSUFFICIENT_FUNDS,Insufficient funds in customer account,0,0.903,0.853,3,1,15,2,active,1.04,12296.0,desktop,macOS,IN,"{""invoice_id"": ""INV_FAFC5C36"", ""due_date"": ""2026-05-31"", ""items"": 1, ""tax"": 83.65}",0,0.304,0.0
TXN_BC4805EC50,CUST_1414,MERCH_273,2702.37,INR,2026-05-27T15:11:00,credit_card,unknown,ERR_UNKNOWN,Unknown upstream gateway failure,0,0.757,0.784,3,1,15,2,active,1.26,1033883.0,mobile,Android,IN,"{""invoice_id"": ""INV_CFF0ECA6"", ""due_date"": ""2026-05-30"", ""items"": 2, ""tax"": 486.43}",1,0.569,1537.65
TXN_42D69239AD,CUST_1613,MERCH_344,8129.72,INR,2026-05-27T15:22:50,upi,insufficient_funds,ERR_INSUFFICIENT_FUNDS,Insufficient funds in customer account,1,0.615,0.505,4,2,15,2,active,2.32,630480.0,desktop,Android,IN,"{""invoice_id"": ""INV_02F63D50"", ""due_date"": ""2026-06-02"", ""items"": 2, ""tax"": 1463.35}",0,0.17,0.0
TXN_47999BC32A,CUST_1519,MERCH_316,373.16,INR,2026-05-27T16:18:10,credit_card,merchant_configuration,ERR_MERCHANT_CONFIG,Invalid merchant API credentials or routing config,0,0.926,0.993,2,0,16,2,active,0.63,197777.0,desktop,macOS,GB,"{""invoice_id"": ""INV_1C2EA9A0"", ""due_date"": ""2026-06-05"", ""items"": 1, ""tax"": 67.17}",1,0.535,199.64
TXN_C7206D3B7C,CUST_1673,MERCH_210,1613.29,INR,2026-05-27T17:04:13,credit_card,bank_decline,ERR_BANK_DECLINE,Issuer bank declined transaction due to risk rules,1,0.642,0.646,5,3,17,2,canceled,2.5,134013.0,mobile,iOS,IN,"{""invoice_id"": ""INV_16DC3182"", ""due_date"": ""2026-05-29"", ""items"": 2, ""tax"": 290.39}",1,0.635,1024.44
TXN_DB9ED4C132,CUST_2096,MERCH_301,2027.48,INR,2026-05-27T17:41:07,upi,temporary_network_failure,ERR_NETWORK_TIMEOUT,Temporary gateway network timeout or issuer degradation,0,0.88,1.0,8,1,17,2,active,1.77,292594.0,mobile,Android,IN,"{""invoice_id"": ""INV_825D202C"", ""due_date"": ""2026-06-07"", ""items"": 2, ""tax"": 364.95}",1,0.99,2007.21
TXN_4F7756CF4C,CUST_1344,MERCH_328,1636.97,INR,2026-05-27T18:31:30,debit_card,bank_decline,ERR_BANK_DECLINE,Issuer bank declined transaction due to risk rules,3,0.52,0.465,5,3,18,2,active,1.32,70831.0,desktop,Android,IN,"{""invoice_id"": ""INV_7FD122FC"", ""due_date"": ""2026-05-31"", ""items"": 2, ""tax"": 294.65}",0,0.309,0.0
TXN_844A5DE736,CUST_2050,MERCH_188,1478.95,INR,2026-05-27T18:44:33,net_banking,insufficient_funds,ERR_INSUFFICIENT_FUNDS,Insufficient funds in customer account,2,0.666,0.76,5,1,18,2,none,0.97,865331.0,mobile,iOS,IN,"{""invoice_id"": ""INV_77CD2948"", ""due_date"": ""2026-06-02"", ""items"": 1, ""tax"": 266.21}",0,0.011,0.0
TXN_97146286A3,CUST_2192,MERCH_203,595.37,INR,2026-05-27T18:57:05,wallet,temporary_network_failure,ERR_NETWORK_TIMEOUT,Temporary gateway network timeout or issuer degradation,0,0.897,0.892,3,0,18,2,trial,1.46,326693.0,mobile,iOS,IN,"{""invoice_id"": ""INV_163205D9"", ""due_date"": ""2026-05-29"", ""items"": 3, ""tax"": 107.17}",1,0.837,498.32
TXN_6C7A97727D,CUST_1774,MERCH_153,2658.13,INR,2026-05-27T19:53:51,credit_card,temporary_network_failure,ERR_NETWORK_TIMEOUT,Temporary gateway network timeout or issuer degradation,4,0.862,0.848,5,1,19,2,active,1.2,24112.0,desktop,Android,AE,"{""invoice_id"": ""INV_7E9511BF"", ""due_date"": ""2026-05-29"", ""items"": 2, ""tax"": 478.46}",1,0.618,1642.72
TXN_A153DA86D2,CUST_1584,MERCH_152,857.82,INR,2026-05-27T20:02:04,credit_card,bank_decline,ERR_BANK_DECLINE,Issuer bank declined transaction due to risk rules,2,0.736,0.655,5,2,20,2,active,0.71,498343.0,mobile,iOS,IN,"{""invoice_id"": ""INV_807173B3"", ""due_date"": ""2026-06-04"", ""items"": 3, ""tax"": 154.41}",1,0.565,484.67
TXN_58A7164291,CUST_2232,MERCH_256,879.71,INR,2026-05-27T20:15:03,credit_card,temporary_network_failure,ERR_NETWORK_TIMEOUT,Temporary gateway network timeout or issuer degradation,0,0.884,0.818,4,1,20,2,active,0.37,89355.0,mobile,macOS,GB,"{""invoice_id"": ""INV_8150BC0F"", ""due_date"": ""2026-05-28"", ""items"": 1, ""tax"": 158.35}",1,0.919,808.45
TXN_34474C9531,CUST_1879,MERCH_264,273.92,USD,2026-05-27T20:16:24,debit_card,authentication_failure,ERR_AUTH_FAILED,Customer 3DS / OTP verification failed or timed out,0,0.943,1.0,6,0,20,2,active,1.85,151155.0,mobile,Windows,IN,"{""invoice_id"": ""INV_5DA095A1"", ""due_date"": ""2026-06-07"", ""items"": 1, ""tax"": 49.31}",1,0.846,231.74
TXN_CE1AEC25AC,CUST_1897,MERCH_168,435.2,INR,2026-05-27T20:27:49,debit_card,temporary_network_failure,ERR_NETWORK_TIMEOUT,Temporary gateway network timeout or issuer degradation,2,0.925,0.962,3,1,20,2,active,2.48,239455.0,mobile,Windows,US,"{""invoice_id"": ""INV_0C16B7B9"", ""due_date"": ""2026-05-29"", ""items"": 2, ""tax"": 78.34}",1,0.588,255.9
TXN_D5BA63AED3,CUST_1847,MERCH_113,7926.45,INR,2026-05-27T21:02:41,credit_card,temporary_network_failure,ERR_NETWORK_TIMEOUT,Temporary gateway network timeout or issuer degradation,1,0.877,0.988,7,1,21,2,active,1.81,96614.0,mobile,iOS,IN,"{""invoice_id"": ""INV_501520C8"", ""due_date"": ""2026-05-29"", ""items"": 1, ""tax"": 1426.76}",1,0.87,6896.01
TXN_416AEA80E2,CUST_1724,MERCH_324,1953.98,INR,2026-05-27T21:25:00,debit_card,customer_action_required,ERR_CUSTOMER_ACTION,Customer mandate approval or biometric confirmation needed,0,0.921,1.0,3,1,21,2,none,0.86,275597.0,mobile,Android,IN,"{""invoice_id"": ""INV_306DFA76"", ""due_date"": ""2026-06-06"", ""items"": 1, ""tax"": 351.72}",0,0.419,0.0
TXN_9228B4EFAC,CUST_1656,MERCH_254,3787.96,INR,2026-05-27T21:25:28,credit_card,bank_decline,ERR_BANK_DECLINE,Issuer bank declined transaction due to risk rules,3,0.676,0.64,7,3,21,2,canceled,0.3,274331.0,desktop,Windows,GB,"{""invoice_id"": ""INV_E55F8FBA"", ""due_date"": ""2026-06-06"", ""items"": 1, ""tax"": 681.83}",1,0.649,2458.39
TXN_3541B6A205,CUST_1610,MERCH_104,744.37,INR,2026-05-27T22:00:18,upi,insufficient_funds,ERR_INSUFFICIENT_FUNDS,Insufficient funds in customer account,2,0.861,0.818,7,1,22,2,active,0.8,495917.0,desktop,Android,IN,"{""invoice_id"": ""INV_92A2B323"", ""due_date"": ""2026-06-08"", ""items"": 1, ""tax"": 133.99}",0,0.21,0.0
TXN_5547A2FBF2,CUST_2023,MERCH_342,258.7,INR,2026-05-27T22:40:13,net_banking,temporary_network_failure,ERR_NETWORK_TIMEOUT,Temporary gateway network timeout or issuer degradation,0,0.725,0.609,6,1,22,2,active,0.64,7819.0,mobile,iOS,IN,"{""invoice_id"": ""INV_B61C0D4C"", ""due_date"": ""2026-06-03"", ""items"": 2, ""tax"": 46.57}",1,0.778,201.27
TXN_E352E133A1,CUST_1946,MERCH_217,937.43,INR,2026-05-27T22:51:18,credit_card,merchant_configuration,ERR_MERCHANT_CONFIG,Invalid merchant API credentials or routing config,0,0.723,0.71,6,3,22,2,active,1.08,81603.0,tablet,Android,US,"{""invoice_id"": ""INV_04C5E418"", ""due_date"": ""2026-05-29"", ""items"": 2, ""tax"": 168.74}",0,0.409,0.0
TXN_821A8D0EAE,CUST_1179,MERCH_348,266.56,INR,2026-05-27T22:55:58,upi,insufficient_funds,ERR_INSUFFICIENT_FUNDS,Insufficient funds in customer account,0,0.465,0.449,2,4,22,2,none,1.09,16200.0,mobile,Android,IN,"{""invoice_id"": ""INV_991C9265"", ""due_date"": ""2026-06-07"", ""items"": 1, ""tax"": 47.98}",0,0.3,0.0
TXN_E994A3964F,CUST_1646,MERCH_271,897.44,INR,2026-05-27T23:17:45,credit_card,insufficient_funds,ERR_INSUFFICIENT_FUNDS,Insufficient funds in customer account,0,0.679,0.548,6,1,23,2,canceled,2.71,345318.0,mobile,Android,IN,"{""invoice_id"": ""INV_E942BF44"", ""due_date"": ""2026-05-30"", ""items"": 3, ""tax"": 161.54}",0,0.144,0.0
TXN_CE43E2A717,CUST_1437,MERCH_242,5713.41,INR,2026-05-27T23:28:37,debit_card,merchant_configuration,ERR_MERCHANT_CONFIG,Invalid merchant API credentials or routing config,0,0.781,0.786,2,2,23,2,trial,0.23,730128.0,desktop,macOS,IN,"{""invoice_id"": ""INV_22B1F8A3"", ""due_date"": ""2026-06-02"", ""items"": 1, ""tax"": 1028.41}",0,0.497,0.0
TXN_8D503508B5,CUST_1394,MERCH_166,1638.1,INR,2026-05-27T23:30:00,debit_card,expired_card,ERR_CARD_EXPIRED,Instrument card has expired,0,0.618,0.601,7,6,23,2,none,1.18,297980.0,mobile,iOS,IN,"{""invoice_id"": ""INV_B7F7D4E3"", ""due_date"": ""2026-06-08"", ""items"": 2, ""tax"": 294.86}",0,0.01,0.0
TXN_CD2B57B750,CUST_1593,MERCH_100,7700.15,INR,2026-05-27T23:33:13,credit_card,authentication_failure,ERR_AUTH_FAILED,Customer 3DS / OTP verification failed or timed out,0,0.726,0.636,5,1,23,2,trial,0.33,259821.0,desktop,Android,IN,"{""invoice_id"": ""INV_E150097D"", ""due_date"": ""2026-05-30"", ""items"": 2, ""tax"": 1386.03}",1,0.9,6930.14
TXN_721FDEC1BD,CUST_1056,MERCH_251,3197.75,INR,2026-05-27T23:53:33,debit_card,merchant_configuration,ERR_MERCHANT_CONFIG,Invalid merchant API credentials or routing config,0,0.933,0.793,10,1,23,2,trial,1.71,1454983.0,mobile,Android,IN,"{""invoice_id"": ""INV_4217C90C"", ""due_date"": ""2026-06-09"", ""items"": 1, ""tax"": 575.6}",1,0.505,1614.86
TXN_2795A53826,CUST_2197,MERCH_303,5251.82,INR,2026-05-27T23:55:39,wallet,bank_decline,ERR_BANK_DECLINE,Issuer bank declined transaction due to risk rules,3,0.939,0.984,8,1,23,2,none,1.58,436950.0,mobile,Android,IN,"{""invoice_id"": ""INV_D8012476"", ""due_date"": ""2026-06-01"", ""items"": 3, ""tax"": 945.33}",1,0.601,3156.34
TXN_7B0C3B5F6B,CUST_1325,MERCH_208,1417.5,INR,2026-05-28T00:09:49,credit_card,bank_decline,ERR_BANK_DECLINE,Issuer bank declined transaction due to risk rules,2,0.618,0.574,4,2,0,3,active,1.53,918295.0,mobile,iOS,IN,"{""invoice_id"": ""INV_36064928"", ""due_date"": ""2026-06-10"", ""items"": 1, ""tax"": 255.15}",0,0.368,0.0
TXN_6D0BF2D3B3,CUST_1321,MERCH_161,449.51,INR,2026-05-28T00:26:19,upi,temporary_network_failure,ERR_NETWORK_TIMEOUT,Temporary gateway network timeout or issuer degradation,1,0.834,0.771,5,1,0,3,none,1.8,304349.0,mobile,Android,IN,"{""invoice_id"": ""INV_6BF99391"", ""due_date"": ""2026-05-29"", ""items"": 2, ""tax"": 80.91}",1,0.92,413.55
TXN_497CD096BE,CUST_1182,MERCH_177,654.73,INR,2026-05-28T00:27:52,upi,expired_card,ERR_CARD_EXPIRED,Instrument card has expired,1,0.885,0.849,5,0,0,3,none,0.65,1177639.0,mobile,Windows,IN,"{""invoice_id"": ""INV_25DC9199"", ""due_date"": ""2026-06-04"", ""items"": 1, ""tax"": 117.85}",0,0.226,0.0
TXN_30BABF3DE3,CUST_1234,MERCH_156,6157.14,INR,2026-05-28T00:40:04,upi,insufficient_funds,ERR_INSUFFICIENT_FUNDS,Insufficient funds in customer account,0,0.914,0.757,6,2,0,3,active,0.74,508889.0,mobile,iOS,IN,"{""invoice_id"": ""INV_DE1A9DEF"", ""due_date"": ""2026-06-04"", ""items"": 3, ""tax"": 1108.29}",0,0.434,0.0
TXN_7348DBF816,CUST_1618,MERCH_333,2161.71,INR,2026-05-28T01:03:41,upi,customer_action_required,ERR_CUSTOMER_ACTION,Customer mandate approval or biometric confirmation needed,1,0.561,0.66,9,5,1,3,trial,1.11,345389.0,mobile,iOS,IN,"{""invoice_id"": ""INV_964E3135"", ""due_date"": ""2026-06-03"", ""items"": 3, ""tax"": 389.11}",0,0.438,0.0
TXN_8C0F3EFB96,CUST_2209,MERCH_119,457.32,INR,2026-05-28T01:21:25,credit_card,unknown,ERR_UNKNOWN,Unknown upstream gateway failure,1,0.687,0.531,3,2,1,3,trial,1.22,35163.0,mobile,macOS,IN,"{""invoice_id"": ""INV_BCCB3E9D"", ""due_date"": ""2026-05-31"", ""items"": 1, ""tax"": 82.32}",0,0.456,0.0
TXN_B5E2F9B393,CUST_1265,MERCH_285,3461.45,INR,2026-05-28T01:46:43,wallet,insufficient_funds,ERR_INSUFFICIENT_FUNDS,Insufficient funds in customer account,4,0.73,0.729,6,3,1,3,active,0.32,84862.0,mobile,Android,IN,"{""invoice_id"": ""INV_42B542E8"", ""due_date"": ""2026-06-08"", ""items"": 3, ""tax"": 623.06}",0,0.01,0.0
TXN_B303DE4216,CUST_2008,MERCH_113,380.62,INR,2026-05-28T01:47:36,upi,bank_decline,ERR_BANK_DECLINE,Issuer bank declined transaction due to risk rules,1,0.879,0.988,9,0,1,3,active,1.26,474881.0,desktop,Android,IN,"{""invoice_id"": ""INV_EF918F92"", ""due_date"": ""2026-05-31"", ""items"": 1, ""tax"": 68.51}",1,0.922,350.93
TXN_427ED25121,CUST_1841,MERCH_305,2866.53,INR,2026-05-28T01:57:46,wallet,temporary_network_failure,ERR_NETWORK_TIMEOUT,Temporary gateway network timeout or issuer degradation,1,0.889,0.951,6,0,1,3,none,1.16,61227.0,desktop,iOS,IN,"{""invoice_id"": ""INV_7606BFCA"", ""due_date"": ""2026-06-05"", ""items"": 2, ""tax"": 515.98}",1,0.899,2577.01
TXN_50264C43AC,CUST_1328,MERCH_336,1395.85,INR,2026-05-28T02:39:44,wallet,insufficient_funds,ERR_INSUFFICIENT_FUNDS,Insufficient funds in customer account,0,0.851,0.885,5,2,2,3,canceled,1.92,71419.0,mobile,Android,IN,"{""invoice_id"": ""INV_8EE7F638"", ""due_date"": ""2026-06-06"", ""items"": 3, ""tax"": 251.25}",0,0.335,0.0
TXN_561B55B40E,CUST_1682,MERCH_280,3602.16,INR,2026-05-28T02:51:23,debit_card,authentication_failure,ERR_AUTH_FAILED,Customer 3DS / OTP verification failed or timed out,0,0.919,0.84,2,0,2,3,canceled,0.45,33664.0,desktop,Windows,IN,"{""invoice_id"": ""INV_2EBF58EF"", ""due_date"": ""2026-06-08"", ""items"": 1, ""tax"": 648.39}",1,0.931,3353.61
TXN_4D50201841,CUST_1023,MERCH_134,1388.43,INR,2026-05-28T03:00:59,debit_card,insufficient_funds,ERR_INSUFFICIENT_FUNDS,Insufficient funds in customer account,0,0.672,0.715,10,3,3,3,active,1.76,114369.0,desktop,iOS,IN,"{""invoice_id"": ""INV_173458ED"", ""due_date"": ""2026-06-06"", ""items"": 1, ""tax"": 249.92}",0,0.308,0.0
TXN_11B43F1AFF,CUST_1195,MERCH_289,3733.77,INR,2026-05-28T03:04:54,upi,temporary_network_failure,ERR_NETWORK_TIMEOUT,Temporary gateway network timeout or issuer degradation,2,0.901,0.917,4,3,3,3,active,0.23,70153.0,mobile,Android,IN,"{""invoice_id"": ""INV_095895A7"", ""due_date"": ""2026-06-05"", ""items"": 3, ""tax"": 672.08}",1,0.791,2953.41
TXN_9F2B1E1814,CUST_1610,MERCH_288,391.14,INR,2026-05-28T03:19:05,upi,bank_decline,ERR_BANK_DECLINE,Issuer bank declined transaction due to risk rules,0,0.93,1.0,4,0,3,3,canceled,0.68,80154.0,mobile,iOS,IN,"{""invoice_id"": ""INV_9BFF28D7"", ""due_date"": ""2026-06-02"", ""items"": 1, ""tax"": 70.41}",1,0.934,365.32
TXN_1A34400501,CUST_1612,MERCH_347,2525.59,USD,2026-05-28T03:19:42,wallet,merchant_configuration,ERR_MERCHANT_CONFIG,Invalid merchant API credentials or routing config,0,0.82,0.868,4,3,3,3,none,0.79,156976.0,desktop,Windows,IN,"{""invoice_id"": ""INV_71D9E79C"", ""due_date"": ""2026-06-05"", ""items"": 1, ""tax"": 454.61}",0,0.497,0.0
TXN_26BB02E4D5,CUST_1631,MERCH_246,1159.82,INR,2026-05-28T03:52:57,wallet,authentication_failure,ERR_AUTH_FAILED,Customer 3DS / OTP verification failed or timed out,4,0.838,0.937,5,1,3,3,canceled,3.51,148423.0,mobile,Android,IN,"{""invoice_id"": ""INV_051F9CDE"", ""due_date"": ""2026-06-04"", ""items"": 3, ""tax"": 208.77}",1,0.652,756.2
TXN_7E0DAE12EE,CUST_1320,MERCH_183,2626.81,INR,2026-05-28T03:53:34,credit_card,authentication_failure,ERR_AUTH_FAILED,Customer 3DS / OTP verification failed or timed out,3,0.904,0.947,8,1,3,3,none,0.22,434006.0,desktop,iOS,SG,"{""invoice_id"": ""INV_AED01E37"", ""due_date"": ""2026-06-06"", ""items"": 1, ""tax"": 472.83}",1,0.637,1673.28
TXN_B78C377EC1,CUST_1202,MERCH_141,1329.28,INR,2026-05-28T04:07:13,upi,customer_action_required,ERR_CUSTOMER_ACTION,Customer mandate approval or biometric confirmation needed,1,0.926,0.877,3,0,4,3,canceled,1.86,508273.0,mobile,iOS,IN,"{""invoice_id"": ""INV_DBADA412"", ""due_date"": ""2026-06-05"", ""items"": 3, ""tax"": 239.27}",1,0.613,814.85
TXN_E514CA99E8,CUST_2113,MERCH_271,739.2,INR,2026-05-28T04:20:08,credit_card,temporary_network_failure,ERR_NETWORK_TIMEOUT,Temporary gateway network timeout or issuer degradation,1,0.91,0.993,6,3,4,3,active,1.36,1120154.0,desktop,Windows,IN,"{""invoice_id"": ""INV_05A5129A"", ""due_date"": ""2026-06-07"", ""items"": 2, ""tax"": 133.06}",1,0.845,624.62
TXN_461E56FED1,CUST_1176,MERCH_314,1627.98,INR,2026-05-28T04:33:15,upi,temporary_network_failure,ERR_NETWORK_TIMEOUT,Temporary gateway network timeout or issuer degradation,0,0.873,0.94,5,1,4,3,active,0.42,177541.0,mobile,iOS,IN,"{""invoice_id"": ""INV_8CA88DDA"", ""due_date"": ""2026-06-10"", ""items"": 1, ""tax"": 293.04}",1,0.99,1611.7
TXN_A8E5BA9F76,CUST_1626,MERCH_197,6233.02,INR,2026-05-28T04:56:16,credit_card,insufficient_funds,ERR_INSUFFICIENT_FUNDS,Insufficient funds in customer account,1,0.759,0.643,4,1,4,3,none,0.99,275720.0,desktop,Android,IN,"{""invoice_id"": ""INV_AD998F38"", ""due_date"": ""2026-06-10"", ""items"": 3, ""tax"": 1121.94}",0,0.352,0.0
